dataMatrix	LivCan_299_014.mzML	LivCan_085_018.mzML	LivCan_300_015.mzML	LivCan_309_020.mzML	LivCan_086_019.mzML	LivCan_363_016.mzML
variable_938	17.4457309540802	17.5991873135183	17.6998376715988	17.6647963573188	17.8027192932791	17.4943760779718
variable_948	14.6110020110853	14.6756469574699	15.0889868520548	14.8853300736331	15.1648903728298	14.9819768456134
variable_953	12.4996848244854	12.1093850054319	12.416358020619	NA	NA	11.979243683966
variable_977	16.1577024353891	16.2856983134727	16.2720342446707	16.406846130444	16.3533135408774	16.19321112721
variable_987	13.1591189550861	13.0599064916033	13.1391690356047	13.2395413737909	13.1835730372073	13.1518605132019
variable_989	NA	15.5250599444169	15.7105742114263	15.5033140803035	NA	15.4989590934834
variable_994	11.85787376153	11.934833287729	12.2259524695317	NA	NA	12.1720975472048
variable_1016	15.2804706569913	15.9000348477985	15.7314281673457	15.8796789051519	15.9766568388314	15.8736561343306
variable_1018	14.1590036482592	12.6879845672969	13.7427525660666	12.6098002227326	13.0350346594284	13.7078205259513
variable_1020	12.5980577610334	13.2586512323796	13.23929818261	13.3065731353961	13.1416810699577	13.448681186573
variable_1023	16.4520688529007	16.0522669438105	14.7744924455034	15.9304884276754	15.2094900652219	15.9150418917732
variable_1060	17.2669437185177	15.6180035705704	16.5533883813641	15.2441830492503	16.9796040108059	15.662953614002
variable_1067	14.7005923855615	12.5922749874866	13.9094577020934	NA	14.4307210747866	13.0571229281812
variable_1076	16.9923717728875	17.1360989701661	17.0386959893893	17.2048399267343	17.111749838813	16.992539446289
variable_1080	13.809215467029	13.8999027738374	13.8712916076955	13.9425099924851	13.88503230111	13.5854874929989
variable_1087	13.7621157122191	13.6951246964563	13.7203652447306	14.0392163628262	13.8682213803081	13.6602208247493
variable_1107	12.5696403882853	13.3391497635132	13.8768500920234	NA	NA	13.4955508138043
variable_1125	14.7431304746183	14.6524250268803	13.8766912647544	14.3479508676462	14.2121920539503	13.9932315023627
variable_1143	15.9502474291644	15.8188657946213	17.0301802011932	16.4669474057197	16.3087046582615	18.1526575760778
variable_1148	19.6215728829771	18.926605911941	21.1745088788747	18.8903248930046	19.7595852983391	21.1369044867696
variable_1152	16.9678505271946	16.2154405555698	18.6037176296785	16.2012250012713	17.1121075585907	18.5628929199519
variable_1157	13.8510458658853	12.9967238926943	15.3929298973749	12.9886812412164	14.02539186089	15.3150318439542
variable_1185	16.036294005715	15.7558094717162	15.7937595883097	15.7119018640325	15.7613882362833	15.6917761901304
variable_1193	13.1219651331706	13.0770636214712	12.9951121962824	13.2969810481965	13.0268874976108	12.9278600091772
variable_1206	16.5001493711574	16.0260943143456	16.2563864052442	15.475778126057	17.1225536742273	16.47556262867
variable_1216	14.0845416967549	13.7308194924815	13.8910866736807	12.3220777622919	14.660793908491	13.8139897845219
variable_1223	14.0517334239222	13.7452603985846	15.0030453603707	NA	14.0396924672823	15.0795205859278
variable_1234	15.1800525240984	15.0843514644222	15.1274724950544	15.0600218825774	14.8933652994005	15.18834372112
variable_1239	12.8779863896081	NA	12.7616652125629	12.9114453306549	12.6843541644538	12.6657414579888
variable_1272	13.8308041917277	14.6384280699793	15.1823833224711	14.8324467833479	14.537450457354	14.6369583157757
variable_1284	14.894480748684	14.6706947010391	15.2425608567256	15.088231357062	15.3737426126678	16.7405409714835
variable_1294	13.8396016498712	13.9981383047686	13.6610968663751	NA	13.7567388783411	14.0868700472198
variable_1295	18.7355003654667	17.7385396114481	19.5424208462636	17.3372821102187	18.6707747391866	19.4777960187971
variable_1296	14.4292212478787	14.4444407225821	13.4374568855493	13.8017115649388	13.5956128651341	12.190507486537
variable_1302	16.2150435428452	15.328732421233	17.0397193571467	14.9745010318819	16.1913251258897	16.9740071385394
variable_1312	15.1306502868733	14.2014249269562	16.1866710007551	14.2575896400692	14.977606238318	16.2765417989375
variable_1360	16.0822678579897	14.9704553332636	15.5669969189636	15.0356643479766	15.1601168791984	15.1719401853853
variable_1369	14.1445111881561	13.5273928317672	13.6670828367531	13.4844717084768	13.2999410813264	13.3737494063788
variable_1398	17.1266510756384	17.087826502776	17.1672664800431	17.0772560156471	17.065243388937	17.1164944597739
variable_1402	15.1732376252162	15.114581457274	15.140371396859	15.0450788323617	15.0348099860265	15.1333974743098
variable_1426	13.9944352784669	13.6420788169217	14.5942780961526	13.5956840470686	14.1226628490337	15.4043412845239
variable_1442	14.3425939010689	14.6285414690295	14.023701852472	NA	14.492968026883	14.179461184541
variable_1457	15.3548727499663	14.1575975767658	14.7061900526925	14.2983191709861	14.2807839231814	14.3033394685352
variable_1464	12.9072620191544	12.8324577157015	13.1971918968464	13.3548738782702	13.3670443701382	13.4231012264159
